Product Key,Product ID,Product Name,Category,Sub-Category
400165,FUR-TA-10003179,"Lesro Wood Table, Fully Assembled",Furniture,Tables
400166,TEC-PH-10001396,"Nokia Smart Phone, Cordless",Technology,Phones
400167,FUR-TA-10003078,"Hon Training Table, Fully Assembled",Furniture,Tables
400168,FUR-CH-10003581,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
400169,FUR-TA-10000184,"Barricks Conference Table, Fully Assembled",Furniture,Tables
400170,OFF-AP-10001956,"Breville Refrigerator, Black",Office Supplies,Appliances
400171,TEC-PH-10002200,Samsung Galaxy Note 2,Technology,Phones
400172,OFF-AP-10003382,"Breville Stove, White",Office Supplies,Appliances
400173,OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Office Supplies,Storage
400174,OFF-AP-10003917,"KitchenAid Stove, Silver",Office Supplies,Appliances
400175,OFF-ST-10002900,"Smead Lockers, Wire Frame",Office Supplies,Storage
400176,TEC-CO-10003819,"Sharp Copy Machine, High-Speed",Technology,Copiers
400177,OFF-AP-10000675,"Hamilton Beach Stove, White",Office Supplies,Appliances
400178,FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases
400179,OFF-AP-10001824,"Breville Stove, Silver",Office Supplies,Appliances
400180,OFF-SME-10000746,"Smead Lockers, Industrial",Office Supplies,Storage
400181,TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines
400182,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage
400183,TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,Technology,Phones
400184,TEC-CO-10000208,"Brother Wireless Fax, Color",Technology,Copiers
400185,FUR-CH-10003312,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs
400186,TEC-EPS-10000053,"Epson Receipt Printer, Red",Technology,Machines
400187,OFF-ST-10004060,"Fellowes Lockers, Blue",Office Supplies,Storage
400188,TEC-PH-10000303,"Samsung Smart Phone, VoIP",Technology,Phones
400189,FUR-BO-10002708,"Dania Library with Doors, Pine",Furniture,Bookcases
400190,FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases
400191,FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases
400192,FUR-SAU-10002255,"Sauder Classic Bookcase, Pine",Furniture,Bookcases
400193,FUR-CH-10000974,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
400194,OFF-AP-10003866,"Breville Microwave, Red",Office Supplies,Appliances
400195,FUR-CH-10003616,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
400196,FUR-CH-10000479,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
400197,TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers
400198,OFF-HOO-10000318,"Hoover Microwave, Silver",Office Supplies,Appliances
400199,TEC-NOK-10001283,"Nokia Smart Phone, Full Size",Technology,Phones
400200,OFF-AP-10000407,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances
400201,OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders
400202,FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs
400203,TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines
400204,FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables
400205,FUR-BO-10002444,"Sauder Library with Doors, Mobile",Furniture,Bookcases
400206,FUR-BO-10004709,"Bush Classic Bookcase, Pine",Furniture,Bookcases
400207,TEC-MA-10004772,"Konica Inkjet, White",Technology,Machines
400208,FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables
400209,TEC-CO-10002911,"Hewlett Wireless Fax, Laser",Technology,Copiers
400210,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables
400211,FUR-SAU-10004653,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
400212,TEC-NOK-10004339,"Nokia Smart Phone, Cordless",Technology,Phones
400213,FUR-TA-10000022,"Hon Conference Table, Adjustable Height",Furniture,Tables
400214,FUR-CH-10000843,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs
400215,OFF-AP-10002681,"Hamilton Beach Stove, Black",Office Supplies,Appliances
400216,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories
400217,OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders
400218,OFF-AP-10004627,"Hamilton Beach Stove, Silver",Office Supplies,Appliances
400219,TEC-PH-10001076,"Nokia Smart Phone, Cordless",Technology,Phones
400220,TEC-PH-10001457,"Apple Smart Phone, Full Size",Technology,Phones
400221,TEC-MA-10004534,"Konica Printer, Wireless",Technology,Machines
400222,FUR-BO-10003991,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
400223,OFF-AP-10002793,"KitchenAid Stove, Black",Office Supplies,Appliances
400224,FUR-CH-10002093,"Harbour Creations Rocking Chair, Adjustable",Furniture,Chairs
400225,FUR-BO-10003103,"Ikea Classic Bookcase, Metal",Furniture,Bookcases
400226,TEC-CO-10001818,"Sharp Wireless Fax, Digital",Technology,Copiers
400227,TEC-CO-10002040,"Brother Fax Machine, Digital",Technology,Copiers
400228,TEC-CO-10001654,"Hewlett Wireless Fax, Digital",Technology,Copiers
400229,OFF-AP-10002397,"Breville Microwave, White",Office Supplies,Appliances
400230,TEC-CAN-10001853,"Canon Fax Machine, High-Speed",Technology,Copiers
400231,FUR-CH-10001207,"Hon Executive Leather Armchair, Red",Furniture,Chairs
400232,TEC-PH-10002597,"Apple Signal Booster, with Caller ID",Technology,Phones
400233,TEC-CO-10002617,"Brother Fax Machine, High-Speed",Technology,Copiers
400234,TEC-CO-10000556,"HP Wireless Fax, Laser",Technology,Copiers
400235,OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances
400236,TEC-HEW-10003460,"Hewlett Fax and Copier, Color",Technology,Copiers
400237,TEC-PH-10002672,"Cisco Smart Phone, Full Size",Technology,Phones
400238,TEC-PH-10000106,"Apple Smart Phone, Full Size",Technology,Phones
400239,OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances
400240,TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers
400241,TEC-SAM-10000345,"Samsung Audio Dock, with Caller ID",Technology,Phones
400242,TEC-CIS-10002259,"Cisco Smart Phone, Cordless",Technology,Phones
400243,OFF-AP-10004350,"KitchenAid Refrigerator, Red",Office Supplies,Appliances
400244,OFF-HOO-10000335,"Hoover Microwave, White",Office Supplies,Appliances
400245,FUR-BO-10004129,"Sauder Classic Bookcase, Pine",Furniture,Bookcases
400246,OFF-ST-10004597,"Rogers File Cart, Blue",Office Supplies,Storage
400247,FUR-CH-10001664,"Novimex Swivel Stool, Black",Furniture,Chairs
400248,OFF-AP-10003240,"Breville Stove, Black",Office Supplies,Appliances
400249,FUR-TA-10000136,"Chromcraft Conference Table, Adjustable Height",Furniture,Tables
400250,FUR-BO-10002866,"Safco Classic Bookcase, Pine",Furniture,Bookcases
400251,OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage
400252,FUR-TA-10001276,"Lesro Coffee Table, with Bottom Storage",Furniture,Tables
400253,TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines
400254,TEC-APP-10002966,"Apple Smart Phone, Full Size",Technology,Phones
400255,FUR-CH-10000685,"Hon Executive Leather Armchair, Black",Furniture,Chairs
400256,FUR-BO-10001541,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases
400257,TEC-CO-10003931,"Hewlett Fax Machine, High-Speed",Technology,Copiers
400258,FUR-BO-10001553,"Sauder Library with Doors, Traditional",Furniture,Bookcases
400259,OFF-ST-10004748,"Smead Lockers, Blue",Office Supplies,Storage
400260,OFF-AP-10000540,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances
400261,TEC-CO-10004567,"Brother Fax Machine, Color",Technology,Copiers
400262,FUR-BO-10001749,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
400263,OFF-ROG-10003898,"Rogers Lockers, Single Width",Office Supplies,Storage
400264,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines
400265,TEC-CO-10002663,"Sharp Wireless Fax, Laser",Technology,Copiers
400266,TEC-CO-10001419,"Hewlett Copy Machine, Color",Technology,Copiers
400267,TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers
400268,TEC-CO-10000679,"Hewlett Personal Copier, High-Speed",Technology,Copiers
400269,FUR-IKE-10001539,"Ikea Classic Bookcase, Pine",Furniture,Bookcases
400270,TEC-CO-10002376,"Hewlett Fax Machine, Laser",Technology,Copiers
400271,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables
400272,OFF-AP-10000136,"Hamilton Beach Refrigerator, White",Office Supplies,Appliances
400273,FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
400274,FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases
400275,OFF-ST-10001758,"Rogers Lockers, Blue",Office Supplies,Storage
400276,TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories
400277,OFF-ST-10004191,"Tenex Lockers, Blue",Office Supplies,Storage
400278,FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables
400279,FUR-OFF-10001224,"Office Star Swivel Stool, Red",Furniture,Chairs
400280,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
400281,OFF-AP-10004913,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
400282,TEC-MA-10002392,"Konica Card Printer, Wireless",Technology,Machines
400283,FUR-TA-10003222,"Barricks Wood Table, with Bottom Storage",Furniture,Tables
400284,TEC-AC-10000639,"Belkin Router, Bluetooth",Technology,Accessories
400285,FUR-TA-10003354,"Barricks Conference Table, Adjustable Height",Furniture,Tables
400286,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders
400287,OFF-AP-10001527,"Hamilton Beach Microwave, Black",Office Supplies,Appliances
400288,TEC-SAM-10004940,"Samsung Smart Phone, Full Size",Technology,Phones
400289,TEC-CO-10003777,"Hewlett Copy Machine, Color",Technology,Copiers
400290,OFF-AP-10001169,"Cuisinart Microwave, White",Office Supplies,Appliances
400291,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases
400292,FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases
400293,TEC-PH-10002991,"Apple Smart Phone, Full Size",Technology,Phones
400294,FUR-TA-10000989,"Lesro Conference Table, Rectangular",Furniture,Tables
400295,TEC-MA-10004609,"Okidata Inkjet, White",Technology,Machines
400296,TEC-CO-10003448,"Canon Personal Copier, Laser",Technology,Copiers
400297,TEC-CO-10003496,"Brother Wireless Fax, Digital",Technology,Copiers
400298,OFF-ST-10003150,"Smead Lockers, Wire Frame",Office Supplies,Storage
400299,FUR-BO-10004947,"Safco Stackable Bookrack, Pine",Furniture,Bookcases
400300,FUR-CH-10004694,"Office Star Rocking Chair, Black",Furniture,Chairs
400301,FUR-CH-10004669,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
400302,FUR-BO-10001196,"Bush Library with Doors, Pine",Furniture,Bookcases
400303,OFF-KIT-10001380,"KitchenAid Microwave, Black",Office Supplies,Appliances
400304,TEC-MA-10000753,"Epson Printer, Red",Technology,Machines
400305,OFF-ST-10000624,"Eldon File Cart, Single Width",Office Supplies,Storage
400306,TEC-PH-10002601,"Motorola Smart Phone, Cordless",Technology,Phones
400307,OFF-ROG-10001735,"Rogers Lockers, Blue",Office Supplies,Storage
400308,FUR-TA-10002256,"Hon Wood Table, Fully Assembled",Furniture,Tables
400309,TEC-CO-10001413,"Hewlett Wireless Fax, High-Speed",Technology,Copiers
400310,FUR-LES-10002026,"Lesro Conference Table, Rectangular",Furniture,Tables
400311,TEC-MA-10001777,"Okidata Printer, Red",Technology,Machines
400312,FUR-CH-10004462,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
400313,FUR-BO-10002580,"Safco Classic Bookcase, Pine",Furniture,Bookcases
400314,TEC-PH-10004618,"Motorola Signal Booster, Cordless",Technology,Phones
400315,OFF-ROG-10001101,"Rogers Shelving, Wire Frame",Office Supplies,Storage
400316,OFF-AP-10002252,"Cuisinart Stove, Black",Office Supplies,Appliances
400317,FUR-CH-10000660,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
400318,FUR-TA-10001285,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
400319,OFF-ST-10003741,"Smead Lockers, Blue",Office Supplies,Storage
400320,FUR-BO-10003046,"Safco Library with Doors, Mobile",Furniture,Bookcases
400321,FUR-TA-10001116,"Barricks Conference Table, Fully Assembled",Furniture,Tables
400322,TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones
400323,FUR-CH-10002780,"Office Star Executive Leather Armchair, Black",Furniture,Chairs
400324,FUR-BO-10004558,"Sauder Library with Doors, Pine",Furniture,Bookcases
400325,TEC-PH-10003457,"Cisco Smart Phone, Full Size",Technology,Phones
400326,TEC-MEM-10002005,"Memorex Router, Erganomic",Technology,Accessories
400327,TEC-CO-10003342,"Canon Fax Machine, High-Speed",Technology,Copiers
400328,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs
400329,FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables
400330,TEC-CO-10003342,"Canon Wireless Fax, High-Speed",Technology,Copiers
400331,TEC-OKI-10001385,"Okidata Inkjet, White",Technology,Machines
