Location Key,Market,Country,Region,State,City
200290,APAC,India,Central Asia,Bihar,Muzaffarpur
200291,EMEA,Iran,EMEA,Kermanshah,Kermanshah
200292,APAC,India,Central Asia,Maharashtra,Thane
200293,LATAM,Colombia,South,Santander,Piedecuesta
200294,APAC,India,Central Asia,Karnataka,Bangalore
200295,APAC,China,North Asia,Fujian,Xiamen
200296,Africa,Zambia,Africa,Copperbelt,Kitwe
200297,APAC,China,North Asia,Guangdong,Jieyang
200298,APAC,Japan,North Asia,Shizuoka,Hamamatsu
200299,APAC,China,North Asia,Zhejiang,Ningbo
200300,APAC,India,Central Asia,Rajasthan,Jodhpur
200301,EU,Germany,Central,Thuringia,Weimar
200302,APAC,New Zealand,Oceania,Auckland,Auckland
200303,Africa,Democratic Republic of the Congo,Africa,Katanga,Lubumbashi
200304,US,United States,Central,Wisconsin,Franklin
200305,US,United States,Central,Nebraska,Omaha
200306,APAC,India,Central Asia,Maharashtra,Nagpur
200307,LATAM,Mexico,North,Tabasco,Villahermosa
200308,EU,France,Central,Rhône-Alpes,Oyonnax
200309,LATAM,Mexico,North,México,Metepec
200310,US,United States,West,California,Santa Ana
200311,EU,France,Central,Ile-de-France,Antony
200312,LATAM,Mexico,North,Sinaloa,Culiacán
200313,US,United States,South,Alabama,Mobile
200314,EMEA,Iraq,EMEA,Maysan,Al Amarah
200315,EMEA,Iran,EMEA,Razavi Khorasan,Mashhad
200316,US,United States,South,Virginia,Springfield
200317,APAC,India,Central Asia,Gujarat,Bhavnagar
200318,EU,Italy,South,Lazio,Rome
200319,EU,Spain,South,Balearic Islands,Palma de Mallorca
200320,EU,France,Central,Rhône-Alpes,Saint-Priest
200321,EMEA,Hungary,EMEA,Gyor,Gyor
200322,Africa,Liberia,Africa,Montserrado,Monrovia
200323,LATAM,Cuba,Caribbean,Santiago de Cuba,Santiago de Cuba
200324,LATAM,Colombia,South,Bogota,Bogotá
200325,EU,Germany,Central,Bavaria,Erlangen
200326,EMEA,Georgia,EMEA,Tbilisi,Tbilisi
200327,APAC,India,Central Asia,Rajasthan,Jaipur
200328,APAC,China,North Asia,Gansu,Suzhou
200329,EU,Italy,South,Emilia-Romagna,Reggio nell'Emilia
200330,LATAM,Mexico,North,Distrito Federal,Azcapotzalco
200331,EMEA,Poland,EMEA,Lublin,Lublin
200332,EU,Switzerland,Central,Zürich,Zurich
200333,EMEA,Albania,EMEA,Elbasan,Elbasan
200334,EMEA,Russia,EMEA,Voronezh,Voronezh
200335,APAC,Japan,North Asia,Yamaguchi,Shimonoseki
200336,APAC,Indonesia,Southeast Asia,Sulawesi Tengah,Palu
200337,APAC,India,Central Asia,Manipur,Imphal
200338,APAC,China,North Asia,Liaoning,Shenyang
200339,US,United States,East,Pennsylvania,Bethlehem
200340,Africa,Chad,Africa,Mandoul,Koumra
200341,APAC,Australia,Oceania,Victoria,Ballarat
200342,EMEA,Montenegro,EMEA,Podgorica,Podgorica
200343,LATAM,Brazil,South,São Paulo,Ribeirão Preto
200344,LATAM,Mexico,North,Jalisco,Zapopan
200345,Canada,Canada,Canada,Ontario,Guelph
200346,US,United States,West,Washington,Bellingham
200347,EU,France,Central,Aquitaine,Bordeaux
200348,EMEA,Iran,EMEA,Hamadan,Hamadan
200349,Africa,Namibia,Africa,Khomas,Windhoek
200350,EU,Netherlands,Central,North Brabant,Eindhoven
200351,LATAM,Guatemala,Central,Quezaltenango,Quetzaltenango
200352,LATAM,El Salvador,Central,La Libertad,Antiguo Cuscatlán
200353,US,United States,East,Rhode Island,Cranston
200354,LATAM,Cuba,Caribbean,Guantánamo,Guantánamo
200355,APAC,Philippines,Southeast Asia,Western Visayas,Bacolod City
200356,APAC,Australia,Oceania,Western Australia,Kwinana
200357,EU,France,Central,Ile-de-France,Deuil-la-Barre
200358,US,United States,South,Louisiana,Lafayette
200359,EU,Portugal,South,Lisboa,Lisbon
200360,APAC,India,Central Asia,Uttar Pradesh,Jhansi
200361,APAC,India,Central Asia,Maharashtra,Amravati
200362,APAC,China,North Asia,Liaoning,Wafangdian
200363,LATAM,Dominican Republic,Caribbean,San Juan,San Juan de la Maguana
200364,Africa,Madagascar,Africa,Analamanga,Antananarivo
200365,EMEA,Russia,EMEA,Bashkortostan,Ufa
200366,EMEA,Iran,EMEA,Tehran,Tehran
200367,APAC,Australia,Oceania,Victoria,Bendigo
200368,APAC,Pakistan,Central Asia,Baluchistan,Quetta
200369,EU,Italy,South,Veneto,Rovigo
200370,LATAM,Colombia,South,Cundinamarca,Soacha
200371,EU,United Kingdom,North,England,Dudley
200372,EMEA,Austria,EMEA,Vienna,Vienna
200373,EU,France,Central,Ile-de-France,Ris-Orangis
200374,EU,France,Central,Ile-de-France,Levallois-Perret
200375,EMEA,Ukraine,EMEA,Volyn,Luts'k
200376,LATAM,El Salvador,Central,San Salvador,San Salvador
200377,US,United States,East,Ohio,Lorain
200378,EU,United Kingdom,North,England,Stoke-on-Trent
200379,LATAM,Brazil,South,São Paulo,São Paulo
200380,APAC,China,North Asia,Anhui,Huaibei
200381,US,United States,West,Utah,Lehi
200382,APAC,New Zealand,Oceania,Wellington,Masterton
200383,APAC,New Zealand,Oceania,Northland,Whangarei
200384,APAC,China,North Asia,Yunnan,Kunming
200385,US,United States,Central,Missouri,Columbia
200386,Canada,Canada,Canada,British Columbia,Vancouver
200387,EU,Spain,South,Navarra,Pamplona
200388,EU,Sweden,North,Stockholm,Haninge
200389,EU,Spain,South,Asturias,Oviedo
200390,US,United States,Central,Texas,Carrollton
200391,APAC,India,Central Asia,Maharashtra,Nasik
200392,EU,Spain,South,Valenciana,Torrevieja
200393,APAC,Japan,North Asia,Yamaguchi,Ube
200394,EU,Italy,South,Campania,Pozzuoli
200395,EMEA,Ukraine,EMEA,Poltava,Poltava
200396,APAC,Indonesia,Southeast Asia,Yogyakarta,Depok
200397,EU,Germany,Central,Bavaria,Regensburg
200398,APAC,India,Central Asia,Andhra Pradesh,Visakhapatnam
200399,EU,France,Central,Ile-de-France,Clamart
200400,EU,Germany,Central,Lower Saxony,Garbsen
200401,APAC,China,North Asia,Heilongjiang,Jixi
200402,Africa,South Africa,Africa,North-West,Potchefstroom
200403,EMEA,Russia,EMEA,Vladimir,Vladimir
200404,EU,Spain,South,Castile and León,Burgos
200405,APAC,India,Central Asia,Kerala,Kollam
200406,APAC,Myanmar (Burma),Southeast Asia,Yangon,Yangon
200407,EU,France,Central,Ile-de-France,Bondy
200408,EU,France,Central,Aquitaine,Mont-de-Marsan
200409,EU,France,Central,Rhône-Alpes,Lyon
200410,APAC,Indonesia,Southeast Asia,Jawa Barat,Depok
200411,LATAM,Brazil,South,São Paulo,Santo André
200412,EU,Germany,Central,North Rhine-Westphalia,Menden
200413,LATAM,Jamaica,Caribbean,Saint Catherine,Spanish Town
200414,APAC,New Zealand,Oceania,Waikato,Taupo
200415,APAC,China,North Asia,Liaoning,Fengcheng
200416,EU,France,Central,Upper Normandy,Vernon
200417,APAC,China,North Asia,Tianjin,Tianjin
200418,LATAM,Mexico,North,Chihuahua,Chihuahua
200419,EU,Spain,South,Valenciana,Elx
200420,LATAM,Dominican Republic,Caribbean,Barahona,Santa Cruz de Barahona
200421,LATAM,Brazil,South,Federal District,Brasília
200422,APAC,China,North Asia,Gansu,Lanzhou
200423,EU,Italy,South,Emilia-Romagna,Bologna
200424,APAC,Australia,Oceania,Northern Territory,Alice Springs
200425,EMEA,Qatar,EMEA,Ad Dawhah,Doha
200426,EU,Italy,South,Lazio,Velletri
200427,APAC,Japan,North Asia,Oita,Matsubara
200428,EU,United Kingdom,North,England,Gloucester
200429,EU,France,Central,Ile-de-France,Puteaux
200430,APAC,Australia,Oceania,Victoria,Geelong
200431,APAC,New Zealand,Oceania,Bay of Plenty,Whakatane
200432,LATAM,Brazil,South,Rio Grande do Norte,Açu
200433,EU,United Kingdom,North,England,Colchester
200434,US,United States,South,Georgia,Sandy Springs
200435,EU,France,Central,Languedoc-Roussillon,Montpellier
200436,EU,Germany,Central,Hesse,Wetzlar
200437,US,United States,East,Ohio,Cleveland
200438,APAC,China,North Asia,Hubei,Shashi
200439,APAC,China,North Asia,Jilin,Chaoyang
200440,EU,United Kingdom,North,England,Rugby
200441,US,United States,Central,Texas,Round Rock
200442,EU,France,Central,Rhône-Alpes,Saint-Chamond
200443,EU,France,Central,Ile-de-France,Fontenay-aux-Roses
200444,APAC,China,North Asia,Inner Mongolia,Baotou
200445,US,United States,Central,Texas,Fort Worth
200446,LATAM,Brazil,South,Santa Catarina,Joinville
200447,LATAM,Brazil,South,Parana,Colombo
200448,US,United States,East,New Hampshire,Dover
200449,APAC,China,North Asia,Shandong,Jining
200450,APAC,China,North Asia,Jiangsu,Zhenjiang
200451,EU,United Kingdom,North,England,York
200452,APAC,China,North Asia,Inner Mongolia,Jining
200453,LATAM,Mexico,North,Yucatán,Mérida
200454,LATAM,Guatemala,Central,Guatemala,Villa Nueva
200455,EU,France,Central,Rhône-Alpes,Annecy-le-Vieux
200456,EU,France,Central,Ile-de-France,Drancy
200457,US,United States,South,Florida,Jacksonville
200458,Africa,Tanzania,Africa,Dar Es Salaam,Dar es Salaam
200459,EU,Germany,Central,Bavaria,Nuremberg
200460,US,United States,West,California,Concord
200461,APAC,China,North Asia,Hubei,Macheng
200462,Africa,Morocco,Africa,Tadla-Azilal,Beni Mellal
200463,US,United States,South,Georgia,Roswell
200464,APAC,India,Central Asia,Tamil Nadu,Madurai
200465,EU,Germany,Central,North Rhine-Westphalia,Dortmund
200466,Africa,Republic of the Congo,Africa,Niari,Loubomo
200467,APAC,China,North Asia,Guangdong,Jiangmen
200468,US,United States,East,Ohio,Troy
200469,EMEA,Russia,EMEA,Kaliningrad,Kaliningrad
200470,EU,Norway,North,Vest-Agder,Kristiansand
200471,EMEA,Iraq,EMEA,Al Qadisiyah,Ad Diwaniyah
200472,EU,France,Central,Aquitaine,Bayonne
200473,US,United States,West,Arizona,Avondale
200474,US,United States,East,Ohio,Fairfield
200475,LATAM,Cuba,Caribbean,Mayabeque,San José de las Lajas
200476,Africa,Algeria,Africa,Alger,Algiers
200477,US,United States,East,Massachusetts,Lowell
200478,EMEA,Turkey,EMEA,Istanbul,Istanbul
200479,EMEA,Lithuania,EMEA,Kaunas,Kaunas
200480,EMEA,Iran,EMEA,Ardabil,Ardabil
200481,LATAM,Mexico,North,Baja California,Mexicali
200482,EMEA,Saudi Arabia,EMEA,Makkah,Mecca
200483,Africa,Egypt,Africa,Al Iskandariyah,Alexandria
200484,APAC,Australia,Oceania,New South Wales,Queanbeyan
200485,APAC,China,North Asia,Guangxi,Guilin
200486,APAC,China,North Asia,Shandong,Gaomi
200487,Africa,South Africa,Africa,Gauteng,Pretoria
200488,EU,United Kingdom,North,England,Blackpool
200489,EU,Germany,Central,Mecklenburg-Vorpommern,Schwerin
200490,APAC,India,Central Asia,Uttar Pradesh,Aligarh
200491,EU,Italy,South,Trentino-Alto Adige,Trento
200492,EU,Italy,South,Emilia-Romagna,Ravenna
200493,EU,Switzerland,Central,Basel-Stadt,Basel
200494,Africa,Mozambique,Africa,Maputo,Matola
200495,EU,France,Central,Poitou-Charentes,Poitiers
200496,APAC,South Korea,North Asia,Seoul,Seoul
200497,EU,France,Central,Alsace,Mulhouse
200498,EU,Italy,South,Lombardy,Milan
200499,APAC,Malaysia,Southeast Asia,Sabah,Kota Kinabalu
200500,US,United States,West,Colorado,Denver
200501,LATAM,Brazil,South,Minas Gerais,Uberaba
200502,EU,France,Central,Ile-de-France,Rueil-Malmaison
200503,EU,United Kingdom,North,England,Crawley
200504,Africa,Nigeria,Africa,Benue,Makurdi
200505,EMEA,Estonia,EMEA,Harjumaa,Tallinn
200506,EU,United Kingdom,North,Wales,Swansea
200507,LATAM,Brazil,South,Parana,Paranaguá
200508,APAC,Indonesia,Southeast Asia,Kalimantan Timur,Samarinda
200509,APAC,India,Central Asia,Andhra Pradesh,Vijayawada
200510,EMEA,Turkey,EMEA,Balikesir,Bandirma
200511,Africa,Cote d'Ivoire,Africa,Fromager,Gagnoa
200512,LATAM,Honduras,Central,Francisco Morazán,Tegucigalpa
200513,EU,France,Central,Ile-de-France,Villiers-le-Bel
200514,Canada,Canada,Canada,Ontario,Brampton
200515,US,United States,East,Maryland,Columbia
