Shipping Key,Ship Mode,Shipping Cost
300490,Second Class,293.78
300491,Second Class,293.46
300492,Standard Class,293.12
300493,Same Day,293.07
300494,First Class,291.93
300495,First Class,291.68
300496,First Class,291.63
300497,Standard Class,291.06
300498,Same Day,290.69
300499,First Class,290.52
300500,Second Class,289.82
300501,Standard Class,289.52
300502,First Class,289.32
300503,Standard Class,289.17
300504,Standard Class,288.98
300505,First Class,288.75
300506,Standard Class,288.63
300507,First Class,288.47
300508,Standard Class,288.1
300509,First Class,287.77
300510,Standard Class,287.24
300511,Standard Class,286.87
300512,First Class,286.74
300513,Same Day,286.67
300514,First Class,286.57
300515,Second Class,286.53
300516,First Class,286.46
300517,Standard Class,286.44
300518,Same Day,286.37
300519,Standard Class,286.3
300520,First Class,286.2
300521,Second Class,286.19
300522,Same Day,286.01
300523,Second Class,285.83
300524,Standard Class,285.65
300525,First Class,285.61
300526,Standard Class,285.12
300527,First Class,284.81
300528,First Class,284.7
300529,Standard Class,284.51
300530,Second Class,284.19
300531,First Class,283.93
300532,First Class,283.69
300533,Standard Class,283.36
300534,Same Day,283.25
300535,Standard Class,283.09
300536,Same Day,282.58
300537,Same Day,282.43
300538,Same Day,282.09
300539,First Class,281.82
300540,First Class,281.74
300541,First Class,280.54
300542,First Class,280.47
300543,Standard Class,279.53
300544,Standard Class,279.11
300545,Second Class,278.98
300546,Second Class,278.75
300547,Second Class,278.5
300548,Second Class,278.34
300549,Second Class,278.13
300550,Second Class,277.93
300551,Second Class,277.66
300552,First Class,277.29
300553,Standard Class,276.89
300554,First Class,276.71
300555,First Class,276.7
300556,Second Class,276.29
300557,First Class,276.23
300558,First Class,275.91
300559,Second Class,275.6
300560,First Class,275.57
300561,Second Class,275.52
300562,Second Class,274.82
300563,First Class,274.75
300564,Second Class,274.63
300565,First Class,274.58
300566,Standard Class,273.88
300567,Second Class,273.79
300568,Second Class,273.63
300569,Same Day,273.57
300570,First Class,273.44
300571,Standard Class,271.59
300572,Same Day,271.32
300573,First Class,271.12
300574,First Class,271.01
300575,Standard Class,270.65
300576,First Class,270.56
300577,Second Class,270.26
300578,Standard Class,269.94
300579,Standard Class,269.89
300580,Standard Class,269.76
300581,First Class,269.53
300582,Standard Class,269.03
300583,First Class,268.19
300584,Same Day,268.13
300585,Standard Class,268.1
300586,Second Class,268.04
300587,Standard Class,267.93
300588,Standard Class,267.78
300589,First Class,267.64
300590,Same Day,266.4
300591,First Class,266.02
300592,Standard Class,266.0
300593,Second Class,265.85
300594,Standard Class,265.46
300595,Same Day,265.14
300596,Standard Class,264.89
300597,First Class,264.43
300598,First Class,263.82
300599,Same Day,263.71
300600,Standard Class,263.47
300601,First Class,263.47
300602,Standard Class,263.01
300603,First Class,262.66
300604,Second Class,262.52
300605,Second Class,262.42
300606,First Class,262.11
300607,Standard Class,262.11
300608,Standard Class,261.87
300609,Standard Class,261.52
300610,Standard Class,261.26
300611,Second Class,261.08
300612,Second Class,260.6
300613,First Class,260.38
300614,Standard Class,260.29
300615,Second Class,259.97
300616,Second Class,259.81
300617,First Class,259.62
300618,Second Class,259.57
300619,First Class,259.34
300620,Standard Class,259.25
300621,Same Day,259.12
300622,Standard Class,258.99
300623,Second Class,258.96
300624,Standard Class,258.84
300625,First Class,258.42
300626,Same Day,258.02
300627,Standard Class,257.63
300628,Standard Class,257.24
300629,Second Class,257.16
300630,Standard Class,256.87
300631,Standard Class,256.7
300632,Standard Class,256.64
300633,Second Class,256.26
300634,Standard Class,255.92
300635,Second Class,255.69
300636,Second Class,255.57
300637,Standard Class,255.56
300638,First Class,255.42
300639,Standard Class,255.36
300640,Same Day,255.17
300641,Standard Class,254.92
300642,Second Class,254.77
300643,Standard Class,254.54
300644,Standard Class,254.47
300645,Standard Class,254.37
300646,Same Day,254.13
300647,Standard Class,254.03
300648,Standard Class,253.95
300649,Same Day,253.73
300650,Second Class,253.5
300651,Same Day,253.33
300652,Standard Class,253.26
300653,Second Class,253.25
300654,Standard Class,253.2
300655,First Class,253.09
300656,Same Day,253.03
300657,Second Class,252.9
300658,Second Class,252.36
300659,First Class,252.17
300660,Standard Class,252.11
300661,Second Class,252.0
300662,First Class,251.88
300663,Second Class,251.57
300664,Standard Class,251.05
300665,First Class,250.36
300666,Second Class,250.06
300667,First Class,250.03
300668,Same Day,249.64
300669,Second Class,248.96
300670,Standard Class,248.91
300671,First Class,248.81
300672,First Class,248.59
300673,Standard Class,248.41
300674,Same Day,247.99
300675,Standard Class,247.7
300676,Second Class,246.73
300677,Standard Class,246.39
300678,Standard Class,246.17
300679,Second Class,246.09
300680,Standard Class,246.07
300681,Standard Class,246.05
300682,Same Day,246.05
300683,Second Class,245.86
300684,First Class,245.83
300685,Second Class,245.6
300686,Second Class,245.57
300687,Standard Class,245.57
300688,Standard Class,245.07
300689,Standard Class,244.88
300690,Same Day,244.67
300691,Standard Class,244.5
300692,Second Class,244.3
300693,Standard Class,244.07
300694,Standard Class,244.03
300695,First Class,243.89
300696,First Class,243.85
300697,Standard Class,243.79
300698,First Class,243.77
300699,Same Day,243.57
300700,First Class,243.14
300701,First Class,243.11
300702,Second Class,243.06
300703,Second Class,242.9
300704,First Class,242.63
300705,Standard Class,242.6
300706,First Class,242.57
300707,Standard Class,242.38
300708,First Class,242.18
300709,First Class,241.89
300710,Second Class,241.86
300711,Same Day,241.68
300712,Second Class,241.54
300713,Same Day,241.34
300714,Same Day,241.33
300715,First Class,240.88
300716,Second Class,240.32
300717,First Class,240.17
300718,Same Day,240.11
300719,First Class,240.09
300720,Standard Class,240.06
300721,Standard Class,239.83
300722,Second Class,239.71
300723,Standard Class,239.69
300724,First Class,239.69
300725,Second Class,239.62
300726,First Class,239.22
300727,Standard Class,239.04
300728,Standard Class,238.95
300729,Second Class,238.9
300730,Standard Class,238.76
300731,Second Class,238.52
300732,Second Class,238.51
300733,Standard Class,238.34
300734,Standard Class,238.23
300735,Standard Class,238.03
300736,Standard Class,237.78
300737,First Class,237.41
300738,First Class,237.38
300739,Second Class,237.28
300740,Standard Class,237.05
300741,Same Day,236.79
300742,First Class,236.69
300743,First Class,236.63
300744,First Class,236.56
300745,First Class,236.49
300746,Second Class,236.26
300747,Second Class,236.23
300748,First Class,236.16
300749,Same Day,236.13
300750,Second Class,236.06
300751,Standard Class,235.88
300752,Standard Class,235.83
300753,Second Class,235.46
300754,Same Day,235.28
300755,Standard Class,235.13
300756,Second Class,235.08
300757,First Class,234.96
300758,Second Class,234.85
300759,First Class,234.85
300760,Same Day,234.79
300761,Standard Class,234.73
300762,Same Day,234.73
300763,Standard Class,234.67
300764,Standard Class,234.61
300765,Second Class,234.28
300766,Standard Class,234.16
300767,Standard Class,234.15
300768,First Class,234.15
300769,First Class,234.13
300770,Standard Class,234.13
300771,Standard Class,234.11
300772,Second Class,234.04
300773,First Class,233.74
300774,Second Class,233.11
300775,Second Class,232.86
300776,First Class,232.84
300777,First Class,232.54
300778,Standard Class,232.49
300779,Standard Class,232.45
300780,Second Class,232.42
300781,Standard Class,232.24
300782,Second Class,232.17
300783,Second Class,231.96
300784,First Class,231.52
300785,Standard Class,231.35
300786,Standard Class,231.32
300787,Standard Class,231.16
300788,Standard Class,231.11
300789,First Class,231.11
300790,Standard Class,230.47
300791,Second Class,230.35
300792,Standard Class,230.04
300793,Standard Class,229.09
300794,Second Class,229.09
300795,Standard Class,228.95
300796,First Class,228.94
300797,Standard Class,228.89
300798,Standard Class,228.78
300799,Standard Class,228.7
300800,Second Class,228.37
300801,Standard Class,228.16
300802,Same Day,228.13
300803,First Class,227.85
300804,Second Class,227.79
300805,Second Class,227.67
300806,Second Class,227.63
300807,Same Day,227.5
300808,First Class,227.19
300809,Second Class,227.14
300810,Standard Class,226.81
300811,Second Class,226.8
300812,First Class,226.73
300813,Second Class,226.68
300814,First Class,226.63
300815,Same Day,226.26
300816,Same Day,226.25
300817,Standard Class,225.84
300818,Standard Class,225.78
300819,First Class,225.58
300820,Standard Class,225.42
300821,First Class,225.16
300822,Second Class,225.02
300823,First Class,225.0
300824,Second Class,224.8
300825,Same Day,224.64
300826,Standard Class,224.28
300827,Second Class,224.28
300828,First Class,223.81
300829,First Class,223.78
300830,Standard Class,223.52
300831,First Class,223.51
300832,Second Class,223.43
300833,Standard Class,223.41
300834,Standard Class,223.31
300835,Second Class,223.21
300836,Standard Class,223.13
300837,Same Day,223.13
300838,Standard Class,222.78
300839,Same Day,222.52
300840,Second Class,222.4
300841,First Class,222.05
300842,Second Class,221.92
300843,First Class,221.64
300844,First Class,221.62
300845,Standard Class,221.58
300846,Standard Class,221.05
300847,Second Class,220.97
300848,Same Day,220.77
300849,Standard Class,220.54
300850,Standard Class,220.39
300851,Second Class,220.3
300852,First Class,219.98
300853,Standard Class,219.84
300854,Standard Class,219.83
300855,Standard Class,219.74
300856,First Class,219.62
300857,First Class,219.53
300858,First Class,219.28
300859,Second Class,219.26
300860,Standard Class,219.19
300861,Standard Class,219.15
300862,First Class,218.96
300863,Same Day,218.9
300864,Standard Class,218.82
300865,First Class,218.81
300866,Second Class,218.75
300867,Second Class,218.62
300868,Same Day,218.4
300869,Standard Class,218.16
300870,Standard Class,217.64
300871,Second Class,217.62
300872,Second Class,217.39
300873,Standard Class,217.38
300874,First Class,217.29
300875,Standard Class,217.03
300876,Standard Class,216.99
300877,Second Class,216.8
300878,Standard Class,216.07
300879,Standard Class,216.06
300880,Standard Class,215.83
300881,Second Class,215.73
300882,Second Class,215.68
300883,First Class,215.64
300884,Standard Class,215.54
300885,First Class,215.4
300886,Standard Class,215.35
300887,Second Class,215.33
300888,Second Class,215.13
300889,Same Day,215.0
300890,Standard Class,214.97
300891,Standard Class,214.88
300892,First Class,214.81
300893,Second Class,214.54
300894,Standard Class,214.54
300895,Second Class,214.42
300896,Same Day,214.24
300897,Standard Class,214.21
300898,Standard Class,214.13
300899,Same Day,214.01
300900,Standard Class,213.93
300901,First Class,213.78
300902,Standard Class,213.5
300903,Same Day,213.37
300904,First Class,213.19
300905,Same Day,213.03
300906,Standard Class,212.94
300907,Standard Class,212.87
300908,First Class,212.86
300909,First Class,212.76
300910,Standard Class,212.76
300911,Standard Class,212.72
300912,First Class,212.15
300913,Same Day,212.12
300914,Second Class,211.9
300915,Standard Class,211.7
300916,Standard Class,211.56
300917,First Class,211.55
300918,Standard Class,211.36
300919,Standard Class,211.31
300920,Standard Class,211.3
300921,First Class,211.17
300922,Standard Class,211.16
300923,Second Class,211.16
300924,First Class,211.08
300925,First Class,210.8
300926,Standard Class,210.65
300927,Second Class,210.64
300928,Standard Class,210.59
300929,Standard Class,210.22
300930,Same Day,209.96
300931,Second Class,209.86
300932,First Class,209.73
300933,Standard Class,209.38
300934,Standard Class,209.36
300935,Same Day,209.32
300936,First Class,209.3
300937,Standard Class,209.29
300938,Second Class,209.07
300939,Standard Class,208.88
300940,Same Day,208.56
300941,Standard Class,208.39
300942,Second Class,208.31
300943,Second Class,208.13
300944,Second Class,208.09
300945,First Class,207.93
300946,Standard Class,207.89
300947,Standard Class,207.81
300948,Standard Class,207.49
300949,Standard Class,207.44
300950,Standard Class,207.32
300951,First Class,207.21
300952,Standard Class,206.92
300953,Standard Class,206.87
300954,First Class,206.61
300955,Same Day,206.61
300956,First Class,206.56
300957,Standard Class,206.54
300958,First Class,206.41
300959,Standard Class,206.39
300960,First Class,206.33
300961,Second Class,206.28
300962,First Class,206.05
300963,Second Class,205.96
300964,First Class,205.74
300965,First Class,205.72
300966,Standard Class,205.63
300967,First Class,205.55
300968,Standard Class,205.45
300969,First Class,205.34
300970,First Class,205.23
300971,First Class,205.22
300972,Second Class,205.17
300973,First Class,205.15
300974,First Class,205.11
300975,Same Day,205.01
300976,Second Class,205.01
300977,Second Class,204.72
300978,First Class,204.65
300979,Standard Class,204.64
300980,Second Class,204.43
300981,Second Class,204.36
300982,First Class,204.31
300983,Second Class,204.29
300984,First Class,203.94
300985,First Class,203.92
300986,Standard Class,203.72
300987,Same Day,203.67
300988,Standard Class,203.61
300989,Standard Class,203.26
300990,First Class,203.22
300991,Second Class,203.2
300992,Standard Class,203.13
300993,Standard Class,203.08
300994,First Class,202.94
300995,Standard Class,202.77
300996,Standard Class,202.49
300997,First Class,202.39
300998,Standard Class,202.36
300999,Second Class,202.32
301000,First Class,202.24
301001,First Class,202.09
301002,Standard Class,202.08
301003,First Class,202.06
301004,First Class,201.97
301005,Standard Class,201.82
301006,Second Class,201.68
301007,First Class,201.54
301008,Standard Class,201.18
301009,Standard Class,200.9
301010,Standard Class,200.83
301011,Standard Class,200.7
301012,Second Class,200.65
301013,Second Class,200.47
301014,First Class,200.45
301015,Standard Class,200.41
301016,First Class,200.35
301017,Same Day,200.09
301018,Second Class,200.07
301019,Standard Class,200.06
301020,Standard Class,199.99
301021,Standard Class,199.8
301022,Same Day,199.79
301023,First Class,199.66
301024,First Class,199.64
301025,Standard Class,199.53
301026,First Class,199.5
301027,Second Class,199.43
301028,First Class,199.05
301029,First Class,199.04
301030,Standard Class,198.47
301031,First Class,198.39
301032,Same Day,198.28
301033,Standard Class,198.27
301034,First Class,198.02
301035,Second Class,197.94
301036,Second Class,197.93
301037,Same Day,197.79
301038,Second Class,197.68
301039,First Class,197.68
301040,Second Class,197.66
301041,Second Class,197.26
301042,Second Class,197.22
301043,First Class,197.18
301044,Standard Class,197.11
301045,Standard Class,197.03
301046,Standard Class,196.97
301047,Same Day,196.9
301048,Standard Class,196.84
301049,Standard Class,196.63
301050,First Class,196.55
301051,Second Class,196.32
301052,Standard Class,196.23
301053,Second Class,196.07
301054,Standard Class,195.87
301055,First Class,195.59
301056,Second Class,195.54
301057,Second Class,195.53
301058,First Class,195.49
301059,First Class,195.43
301060,Second Class,195.37
301061,Second Class,195.34
301062,Standard Class,195.25
301063,First Class,195.24
301064,Same Day,195.23
301065,Same Day,194.97
301066,First Class,194.67
301067,First Class,194.61
301068,First Class,194.6
301069,Standard Class,194.55
301070,First Class,194.42
301071,Standard Class,194.41
301072,Standard Class,194.36
301073,First Class,194.34
301074,First Class,194.21
301075,Second Class,193.89
301076,Standard Class,193.81
301077,Same Day,193.76
301078,Standard Class,193.62
301079,Standard Class,193.59
301080,First Class,193.57
301081,Standard Class,193.56
301082,First Class,193.37
301083,Same Day,193.25
301084,First Class,193.21
301085,Standard Class,193.2
301086,Second Class,193.09
301087,Second Class,192.96
301088,First Class,192.81
301089,Same Day,192.64
301090,Second Class,192.52
301091,First Class,192.33
301092,Standard Class,192.24
301093,Standard Class,192.23
301094,Second Class,192.04
301095,First Class,191.99
301096,Standard Class,191.76
301097,Standard Class,191.65
301098,Second Class,191.64
301099,Standard Class,191.58
301100,Standard Class,191.29
301101,First Class,191.26
301102,Standard Class,191.2
301103,Second Class,190.96
301104,Standard Class,190.79
301105,Second Class,190.71
301106,Second Class,190.6
301107,Standard Class,190.51
301108,Standard Class,190.42
301109,Second Class,190.41
301110,Second Class,190.28
301111,First Class,190.15
301112,Second Class,190.08
301113,Same Day,190.03
301114,Second Class,190.0
301115,Standard Class,189.89
301116,Second Class,189.88
301117,Second Class,189.75
301118,First Class,189.58
301119,Standard Class,189.54
301120,Second Class,189.34
301121,Same Day,189.33
301122,First Class,189.33
301123,First Class,189.08
301124,First Class,188.95
301125,First Class,188.92
301126,Standard Class,188.65
301127,First Class,188.4
301128,Second Class,188.37
301129,Second Class,188.21
301130,Same Day,188.1
301131,Second Class,188.01
301132,Second Class,187.88
301133,Standard Class,187.88
301134,Standard Class,187.69
301135,Standard Class,187.65
301136,First Class,187.63
301137,Standard Class,187.61
301138,Same Day,187.48
301139,First Class,187.45
301140,First Class,187.42
301141,First Class,187.4
301142,Second Class,187.39
301143,Standard Class,187.29
301144,First Class,187.2
301145,Standard Class,187.19
301146,First Class,187.03
301147,First Class,186.83
301148,Standard Class,186.65
301149,Second Class,186.29
301150,First Class,185.97
301151,Standard Class,185.8
301152,Standard Class,185.77
301153,Standard Class,185.65
301154,Second Class,185.63
301155,Standard Class,185.6
301156,Same Day,185.45
301157,Second Class,185.44
301158,Standard Class,185.4
301159,Second Class,185.34
301160,First Class,185.31
301161,Same Day,185.28
301162,Standard Class,185.15
