Customer Key,Location Key,Shipping Key,Product Key,Order Key,Order Date Key,Ship Date Key,Quantity Sold,Total Price
100049,200069,300075,400070,500075,600071,700073,5,2863.35
100074,200070,300076,400008,500076,600072,700074,5,6354.95
100075,200071,300077,400071,500077,600073,700075,10,1487.4
100076,200072,300078,400072,500078,600065,700068,9,3200.04
100077,200073,300079,400044,500079,600074,700076,5,2301.0
100078,200074,300080,400073,500080,600075,700077,14,5729.346
100079,200075,300081,400074,500081,600076,700078,14,5301.24
100080,200076,300082,400075,500082,600077,700079,4,5443.96
100081,200077,300083,400031,500083,600078,700080,9,4416.174
100040,200078,300084,400076,500084,600079,700081,5,3219.9
100082,200079,300085,400077,500085,600080,700082,6,2487.8088
100083,200080,300086,400078,500086,600081,700083,4,2266.44
100084,200005,300087,400079,500087,600082,700084,9,3068.361
100085,200081,300088,400080,500088,600083,700085,9,3728.43
100086,200022,300089,400081,500089,600084,700086,6,1581.48
100056,200052,300090,400002,500090,600053,700056,3,1916.73
100087,200082,300091,400082,500091,600085,700087,6,1685.88
100088,200015,300092,400083,500092,600061,700088,5,2432.16
100089,200083,300093,400084,500093,600086,700089,6,3863.88
100090,200084,300094,400028,500094,600003,700003,7,2465.82
100091,200085,300095,400085,500095,600087,700090,2,1847.52
100092,200086,300096,400086,500096,600088,700091,7,2899.89
100088,200087,300097,400022,500097,600089,700092,7,2891.7
100093,200088,300098,400087,500098,600090,700093,9,2016.846
100094,200089,300099,400088,500099,600091,700094,7,3155.544
100095,200090,300100,400089,500100,600092,700095,6,3856.14
100096,200091,300101,400090,500101,600075,700096,6,3524.472
100097,200092,300102,400091,500102,600093,700050,4,2167.296
100055,200093,300103,400063,500103,600094,700097,6,2556.0
100098,200094,300104,400092,500104,600095,700098,5,1469.25
100038,200095,300105,400093,500105,600096,700006,8,4448.832
100099,200051,300106,400094,500106,600097,700099,7,2036.86
100099,200096,300107,400095,500107,600098,700100,9,2472.66
100100,200033,300108,400096,500108,600099,700101,8,3739.176
100101,200097,300109,400097,500109,600100,700102,11,2570.865
100031,200098,300110,400098,500110,600101,700103,7,9099.93
100102,200099,300111,400099,500111,600102,700104,9,2875.77
100103,200100,300112,400100,500112,600103,700105,4,1741.8
100050,200005,300113,400101,500113,600104,700106,5,1601.64
100104,200101,300114,400102,500114,600105,700107,7,3670.8
100105,200028,300115,400103,500115,600106,700108,7,2973.32
100106,200102,300116,400104,500116,600107,700109,5,1900.95
100107,200028,300117,400105,500117,600108,700110,7,1261.33
100108,200103,300118,400106,500118,600109,700111,11,4544.1
100109,200104,300119,400107,500119,600110,700112,4,1455.12
100110,200105,300120,400108,500120,600111,700113,6,1943.19
100111,200000,300121,400109,500121,600112,700114,4,6999.96
100112,200106,300122,400110,500122,600050,700115,13,9892.74
100022,200105,300123,400111,500123,600113,700086,5,1695.87
100084,200107,300124,400112,500124,600114,700116,6,1505.979
100113,200108,300125,400113,500125,600115,700049,3,1954.17
100114,200109,300126,400114,500126,600116,700114,7,2244.48
100115,200077,300127,400115,500127,600117,700117,4,8399.976
100116,200110,300128,400116,500128,600118,700118,9,1628.82
100117,200111,300129,400117,500129,600048,700119,7,1213.18876
100118,200112,300130,400118,500130,600119,700120,5,1590.6
100119,200113,300131,400119,500131,600120,700121,9,2330.64
100120,200067,300132,400120,500132,600121,700122,8,3278.5848
100067,200114,300133,400121,500133,600122,700123,7,3741.5238
100121,200115,300134,400122,500134,600123,700124,4,1603.136
100093,200116,300135,400123,500135,600124,700125,10,3637.602
100122,200117,300136,400124,500136,600003,700003,7,2455.88
100123,200118,300137,400125,500137,600125,700126,8,1024.68
100124,200119,300138,400126,500138,600126,700127,8,2807.84
100125,200115,300139,400127,500139,600127,700128,4,4476.8
100126,200120,300140,400128,500140,600128,700129,14,2297.96
100127,200121,300141,400129,500141,600129,700130,7,2671.41
100128,200122,300142,400130,500142,600048,700131,6,3834.0
100028,200123,300143,400131,500143,600130,700132,8,2054.272
100129,200124,300144,400132,500144,600131,700133,8,3501.7368
100130,200091,300145,400133,500145,600132,700134,3,1725.462
100131,200125,300146,400018,500146,600133,700135,5,1583.7
100132,200000,300147,400134,500147,600134,700136,9,1931.04
100133,200002,300148,400135,500148,600123,700137,7,2760.345
100091,200055,300149,400136,500149,600135,700138,12,3078.72
100134,200126,300150,400137,500150,600032,700139,7,1983.135
100135,200127,300151,400138,500151,600136,700015,3,1112.778
100100,200128,300152,400139,500152,600137,700140,10,3616.5
100136,200106,300153,400140,500153,600138,700141,2,3059.982
100137,200091,300154,400038,500154,600027,700142,5,2892.105
100049,200129,300155,400141,500155,600139,700143,5,3263.4
100138,200130,300156,400142,500156,600140,700144,4,2396.2656
100139,200131,300157,400143,500157,600141,700145,13,3117.088
100140,200132,300158,400035,500158,600142,700146,7,4899.93
100141,200133,300159,400144,500159,600143,700116,5,1888.7
100142,200134,300160,400145,500160,600144,700147,6,3000.78
100143,200135,300161,400146,500161,600145,700148,7,3801.63
100144,200136,300162,400147,500162,600146,700149,8,5211.12
100026,200026,300163,400148,500163,600025,700026,3,1356.03
100145,200105,300164,400149,500164,600147,700150,7,3569.643
100146,200137,300165,400150,500165,600148,700151,5,1287.45
100147,200138,300166,400123,500166,600149,700152,8,2910.0816
100148,200139,300167,400151,500167,600150,700153,9,3126.4002
100149,200068,300168,400152,500168,600151,700154,9,5276.988
100150,200114,300169,400153,500169,600152,700116,5,2645.376
100151,200085,300170,400107,500170,600153,700155,5,1637.01
100152,200140,300171,400154,500171,600154,700156,5,4499.985
100153,200141,300172,400153,500172,600155,700157,5,2645.376
100154,200000,300173,400155,500173,600156,700158,8,2399.6
100136,200142,300174,400011,500174,600157,700159,5,3238.305
100155,200068,300175,400156,500175,600158,700160,7,2291.814
100156,200143,300176,400157,500176,600159,700161,5,2124.5
100157,200144,300177,400158,500177,600160,700162,6,2757.78
100158,200145,300178,400159,500178,600161,700163,6,1549.98
100159,200146,300179,400109,500179,600162,700164,3,2624.985
100160,200147,300180,400160,500180,600163,700165,6,3146.4
100161,200148,300181,400161,500181,600164,700166,11,2456.619
100116,200149,300182,400162,500182,600165,700167,7,2228.6355
100162,200070,300183,400048,500183,600166,700168,5,2999.95
100163,200150,300184,400145,500184,600163,700169,8,4001.04
100164,200151,300185,400163,500185,600167,700170,9,4876.875
100165,200069,300186,400164,500186,600103,700171,6,1788.822
100041,200039,300187,400054,500187,600039,700041,7,3622.29
100166,200138,300188,400165,500188,600168,700172,5,1242.585
100167,200152,300189,400166,500189,600169,700173,7,4453.05
100168,200153,300190,400167,500190,600170,700019,8,2673.36
100123,200154,300191,400168,500191,600127,700174,5,2046.195
100169,200037,300192,400169,500192,600171,700175,6,5451.3
100170,200155,300193,400042,500193,600172,700176,3,4535.976
100171,200156,300194,400170,500194,600173,700177,4,1722.2832
100172,200028,300195,400171,500195,600099,700178,7,2575.944
100173,200157,300196,400172,500196,600174,700179,2,1007.424
100155,200158,300197,400173,500197,600175,700180,7,2934.33
100174,200018,300198,400174,500198,600176,700181,9,4624.29
100175,200129,300199,400175,500199,600177,700182,6,1066.446
100176,200159,300200,400176,500200,600178,700183,4,957.6
100154,200160,300201,400177,500201,600179,700184,10,4864.32
100177,200098,300202,400178,500202,600180,700185,5,2154.9
100178,200161,300203,400179,500203,600181,700186,3,1433.8395
100179,200162,300204,400180,500204,600182,700187,14,2784.6
100180,200163,300205,400061,500205,600183,700064,7,3063.27
100181,200000,300206,400181,500206,600184,700188,5,3404.5
100182,200164,300207,400182,500207,600185,700189,9,1606.23
100183,200030,300208,400063,500208,600095,700190,6,2044.8
100169,200165,300209,400183,500209,600186,700191,3,1214.85
100184,200166,300210,400184,500210,600187,700192,4,1521.0
100097,200092,300211,400146,500211,600093,700050,5,2443.905
100185,200167,300212,400185,500212,600188,700193,6,1348.704
100186,200168,300213,400186,500213,600189,700194,10,1141.8
100187,200169,300214,400187,500214,600190,700195,9,1865.97
100188,200170,300215,400188,500215,600191,700196,11,6998.64
100189,200171,300216,400189,500216,600192,700197,3,1091.25
100190,200172,300217,400190,500217,600193,700198,3,1094.22
100191,200105,300218,400191,500218,600194,700199,4,1320.624
100192,200173,300219,400002,500219,600195,700200,4,2555.64
100193,200174,300220,400192,500220,600196,700061,8,3498.72
100194,200175,300221,400048,500221,600092,700201,4,1439.976
100065,200176,300222,400079,500222,600197,700202,6,2272.86
100159,200177,300223,400113,500223,600198,700203,8,5211.12
100195,200178,300224,400039,500224,600199,700204,4,2582.16
100196,200179,300225,400002,500225,600200,700008,5,3194.55
100197,200105,300226,400193,500226,600201,700205,4,1704.996
100198,200161,300227,400194,500227,600202,700206,6,1538.721
100176,200159,300228,400195,500228,600178,700183,3,1381.32
100199,200180,300229,400061,500229,600203,700207,3,1181.547
100200,200181,300230,400196,500230,600186,700208,4,1696.248
100114,200028,300231,400197,500231,600204,700209,6,3359.952
100201,200077,300232,400010,500232,600205,700210,7,4663.736
100202,200182,300233,400198,500233,600206,700211,4,1237.56
100203,200183,300234,400199,500234,600207,700212,2,1274.7
100204,200096,300235,400200,500235,600208,700213,9,3172.14
100205,200000,300236,400201,500236,600209,700047,6,4305.552
100046,200184,300237,400017,500237,600210,700214,7,3979.29
100206,200106,300238,400202,500238,600086,700215,7,1586.69
100207,200051,300239,400203,500239,600211,700216,6,2395.2
100208,200000,300240,400055,500240,600212,700077,3,1259.97
100209,200185,300241,400204,500241,600213,700217,4,2058.0
100210,200139,300242,400205,500242,600214,700218,7,2539.8765
100211,200186,300243,400206,500243,600215,700219,7,2898.21
100212,200187,300244,400207,500244,600216,700220,5,1320.0075
100213,200188,300245,400208,500245,600217,700221,8,2171.16
100214,200002,300246,400209,500246,600218,700222,13,4448.223
100199,200051,300247,400210,500247,600219,700223,9,1913.4
100215,200189,300248,400133,500248,600220,700224,9,2300.616
100216,200190,300249,400211,500249,600001,700001,6,2615.94
100112,200191,300250,400072,500250,600029,700012,3,1066.68
100072,200106,300251,400031,500251,600221,700225,5,3504.9
100217,200192,300252,400212,500252,600222,700226,4,2544.6
100218,200193,300253,400213,500253,600223,700227,4,3694.68
100219,200194,300254,400148,500254,600224,700040,7,2214.849
100220,200195,300255,400214,500255,600225,700228,4,1236.48
100221,200196,300256,400215,500256,600226,700066,5,1805.9
100127,200130,300257,400140,500257,600162,700229,3,3059.982
100207,200051,300258,400216,500258,600211,700216,4,1687.8
100222,200197,300259,400217,500259,600214,700218,7,2715.93
100223,200198,300260,400218,500260,600227,700230,5,1810.3
100059,200198,300261,400219,500261,600130,700017,5,2120.5
100224,200199,300262,400220,500262,600228,700231,2,1275.0
100225,200200,300263,400221,500263,600229,700232,7,1593.648
100226,200201,300264,400222,500264,600230,700233,3,1114.236
100227,200003,300265,400093,500265,600231,700234,5,2944.08
100228,200202,300266,400223,500266,600097,700235,7,3309.2598
100140,200203,300267,400224,500267,600164,700236,9,897.48
100229,200204,300268,400225,500268,600232,700237,5,2056.05
100230,200205,300269,400226,500269,600233,700238,10,2365.6592
100231,200206,300270,400227,500270,600234,700239,7,1336.356
100232,200207,300271,400228,500271,600235,700240,8,3038.64
100115,200208,300272,400229,500272,600236,700241,9,2698.65
100233,200192,300273,400230,500273,600237,700242,12,3799.08
100234,200209,300274,400231,500274,600238,700243,6,2756.34
100235,200210,300275,400232,500275,600239,700244,8,983.88
100236,200211,300276,400065,500276,600240,700245,5,1719.807
100047,200139,300277,400174,500277,600241,700246,3,1421.541
100237,200212,300278,400233,500278,600212,700247,5,1053.6884
100238,200126,300279,400234,500279,600242,700248,8,1440.84
100033,200033,300280,400065,500280,600032,700033,6,2544.372
100239,200213,300281,400235,500281,600243,700249,8,2625.12
100240,200214,300282,400236,500282,600128,700250,8,1554.48
100241,200215,300283,400063,500283,600201,700064,3,1278.0
100055,200205,300284,400237,500284,600244,700251,8,3474.08
100242,200216,300285,400238,500285,600245,700252,6,2550.0
100243,200028,300286,400239,500286,600246,700253,4,1101.48
100244,200028,300287,400008,500287,600247,700254,1,1016.792
100155,200167,300288,400240,500288,600248,700255,3,1199.976
100245,200217,300289,400241,500289,600249,700108,14,934.248
100231,200158,300290,400115,500290,600250,700077,3,10499.97
100246,200004,300291,400242,500291,600251,700231,6,3908.88
100247,200218,300292,400024,500292,600167,700256,5,2142.3
100248,200219,300293,400243,500293,600071,700073,6,1900.584
100249,200220,300294,400244,500294,600041,700257,6,1840.68
100021,200221,300295,400245,500295,600252,700258,6,2624.04
100185,200222,300296,400049,500296,600253,700259,7,3076.5
100250,200114,300297,400002,500297,600254,700260,6,3181.7718
100251,200223,300298,400246,500298,600255,700261,11,1392.633
100252,200224,300299,400247,500299,600256,700262,8,1296.24
100253,200225,300300,400248,500300,600044,700263,3,1682.91
100040,200226,300301,400063,500301,600257,700076,3,1278.0
100254,200227,300302,400089,500302,600143,700264,4,2570.76
100255,200228,300303,400249,500303,600258,700119,5,2332.96
100235,200033,300304,400250,500304,600259,700265,6,1582.2
100256,200077,300305,400251,500305,600260,700266,6,1801.632
100257,200229,300306,400252,500306,600261,700267,6,1512.0
100116,200054,300307,400253,500307,600178,700268,2,695.7
100258,200230,300308,400254,500308,600262,700269,4,2550.0
100092,200231,300309,400216,500309,600263,700270,6,2025.36
100259,200232,300310,400255,500310,600264,700271,5,2285.7
100260,200079,300311,400256,500311,600265,700272,9,1029.2589
100261,200131,300312,400257,500312,600266,700273,5,1058.2792
100262,200233,300313,400133,500313,600267,700274,9,5751.54
100263,200056,300314,400258,500314,600268,700275,7,2442.069
100264,200234,300315,400259,500315,600269,700222,6,1190.52
100265,200235,300316,400260,500316,600206,700276,7,3150.819
100173,200157,300317,400261,500317,600174,700179,5,1599.9
100060,200236,300318,400262,500318,600270,700277,5,2063.4
100266,200237,300319,400263,500319,600156,700158,6,1269.9
100267,200238,300320,400107,500320,600169,700278,9,3274.02
100059,200198,300321,400029,500321,600130,700017,2,848.32
100268,200239,300322,400264,500322,600271,700265,7,3080.0
100269,200240,300323,400265,500323,600036,700279,8,2847.36
100013,200084,300324,400044,500324,600272,700041,5,1725.75
100082,200138,300325,400266,500325,600273,700268,6,1479.3138
100270,200241,300326,400267,500326,600274,700280,7,4899.93
100271,200242,300327,400268,500327,600275,700281,9,1282.23
100272,200243,300328,400269,500328,600276,700282,6,2478.6
100273,200244,300329,400115,500329,600277,700283,5,17499.95
100274,200245,300330,400270,500330,600278,700203,3,959.76
100000,200000,300331,400271,500331,600000,700000,7,1090.782
100275,200246,300332,400272,500332,600279,700284,10,4135.641
100276,200247,300333,400273,500333,600280,700285,8,2325.28
100277,200005,300334,400274,500334,600281,700286,14,5486.67
100278,200248,300335,400275,500335,600282,700287,8,1523.664
100279,200249,300336,400069,500336,600283,700288,3,1625.2425
100280,200250,300337,400276,500337,600284,700289,4,1319.96
100007,200251,300338,400277,500338,600285,700290,4,734.94
100255,200077,300339,400278,500339,600286,700276,12,2065.32
100281,200252,300340,400279,500340,600287,700291,8,1391.52
100282,200167,300341,400280,500341,600288,700292,7,1552.831
100192,200253,300342,400281,500342,600289,700133,7,2461.06
100283,200254,300343,400055,500343,600290,700018,7,2939.93
100284,200255,300344,400140,500344,600291,700293,8,8159.952
100285,200173,300345,400282,500345,600292,700294,7,1226.19
100205,200091,300346,400283,500346,600293,700295,5,1809.255
100250,200256,300347,400284,500347,600294,700031,8,1863.0
100286,200257,300348,400027,500348,600295,700070,7,4548.81
100287,200258,300349,400175,500349,600141,700296,7,1244.187
100288,200259,300350,400285,500350,600296,700297,4,2364.102
100139,200260,300351,400129,500351,600297,700298,6,1946.313
100289,200028,300352,400286,500352,600298,700299,5,895.92
100290,200261,300353,400287,500353,600299,700300,9,2283.714
100071,200262,300354,400288,500354,600300,700301,4,2549.76
100291,200005,300355,400289,500355,600152,700302,14,3299.562
100292,200263,300356,400290,500356,600013,700303,9,2489.4
100293,200028,300357,400291,500357,600088,700304,8,3406.664
100294,200264,300358,400240,500358,600128,700129,2,999.98
100101,200265,300359,400292,500359,600071,700305,9,1189.242
100295,200028,300360,400048,500360,600301,700215,6,2879.952
100090,200025,300361,400013,500361,600302,700306,4,1269.6
100296,200266,300362,400293,500362,600303,700307,11,3499.155
100297,200005,300363,400294,500363,600304,700308,5,2993.025
100247,200267,300364,400261,500364,600305,700309,3,815.949
100298,200268,300365,400295,500365,600134,700193,4,1245.0
100299,200269,300366,400296,500366,600160,700310,8,1027.728
100112,200105,300367,400297,500367,600306,700311,5,1703.025
100300,200138,300368,400298,500368,600307,700312,11,1803.0837
100301,200270,300369,400299,500369,600308,700211,5,676.485
100302,200271,300370,400300,500370,600065,700068,7,969.36
100303,200272,300371,400156,500371,600048,700119,5,1637.01
100304,200273,300372,400226,500372,600309,700313,7,1655.96144
100305,200274,300373,400301,500373,600091,700094,4,976.96
100042,200275,300374,400302,500374,600310,700314,2,731.34
100306,200276,300375,400303,500375,600311,700315,4,1239.0
100307,200211,300376,400195,500376,600312,700316,5,1680.606
100297,200052,300377,400135,500377,600173,700152,5,2190.75
100308,200068,300378,400304,500378,600313,700317,4,935.172
100309,200204,300379,400305,500379,600314,700185,8,1026.96
100287,200277,300380,400220,500380,600315,700288,4,2550.0
100310,200278,300381,400234,500381,600316,700318,4,1224.714
100311,200114,300382,400306,500382,600317,700105,5,2667.537
100106,200102,300383,400152,500383,600107,700109,4,2605.92
100312,200279,300384,400307,500384,600318,700319,14,2962.68
100313,200280,300385,400308,500385,600016,700320,5,2664.0
100314,200281,300386,400309,500386,600319,700054,4,1513.56
100315,200282,300387,400225,500387,600320,700321,3,1233.63
100316,200063,300388,400310,500388,600321,700322,1,855.15
100317,200068,300389,400311,500389,600322,700323,4,956.34
100318,200077,300390,400251,500390,600323,700324,6,1801.632
100043,200248,300391,400312,500391,600324,700325,5,1838.52
100319,200283,300392,400038,500392,600325,700326,7,4498.83
100119,200284,300393,400152,500393,600326,700327,8,1824.144
100320,200198,300394,400313,500394,600227,700311,8,2344.0
100100,200285,300395,400314,500395,600327,700184,14,2043.72
100246,200049,300396,400315,500396,600328,700286,14,856.8
100311,200286,300397,400316,500397,600329,700306,7,2509.36
100321,200287,300398,400317,500398,600330,700328,2,819.936
100231,200198,300399,400318,500399,600331,700329,6,2797.248
100322,200288,300400,400319,500400,600131,700330,11,1455.08
100323,200289,300401,400320,500401,600332,700331,6,2189.0898
100324,200290,300402,400321,500402,600333,700332,6,5451.3
100325,200291,300403,400050,500403,600334,700333,2,1291.08
100326,200292,300404,400051,500404,600335,700334,4,1526.52
100327,200000,300405,400322,500405,600336,700335,3,1079.85
100328,200293,300406,400323,500406,600337,700336,6,1869.72
100329,200131,300407,400324,500407,600068,700337,7,1815.24
100230,200294,300408,400270,500408,600156,700158,3,959.76
100330,200205,300409,400325,500409,600281,700277,7,3045.84
100331,200198,300410,400238,500410,600338,700338,5,2125.0
100249,200220,300411,400326,500411,600041,700257,4,976.08
100332,200295,300412,400327,500412,600339,700339,4,1266.36
100096,200106,300413,400328,500413,600340,700340,5,1458.65
100333,200296,300414,400329,500414,600291,700341,4,2134.44
100334,200003,300415,400330,500415,600341,700342,14,4748.436
100335,200182,300416,400331,500416,600338,700343,6,1867.5
100114,200297,300417,400332,500417,600342,700344,6,1001.7
100336,200000,300418,400333,500418,600343,700097,4,899.136
100337,200000,300419,400334,500419,600344,700345,5,663.92
100338,200298,300420,400335,500420,600197,700346,8,4306.32
100173,200299,300421,400336,500421,600345,700347,3,899.55
100339,200300,300422,400337,500422,600346,700348,4,763.92
100194,200301,300423,400338,500423,600347,700349,4,2544.24
100340,200302,300424,400339,500424,600347,700350,4,1136.664
100341,200142,300425,400044,500425,600348,700351,5,2301.0
100342,200303,300426,400242,500426,600343,700350,6,3908.88
100343,200304,300427,400340,500427,600349,700352,8,1951.84
100344,200305,300428,400341,500428,600170,700019,4,2479.96
100345,200306,300429,400179,500429,600350,700353,4,2249.16
100346,200307,300430,400215,500430,600351,700354,7,2528.26
100208,200308,300431,400342,500431,600352,700355,5,1461.135
100347,200309,300432,400325,500432,600353,700356,7,3045.84
100348,200000,300433,400031,500433,600354,700357,6,3785.292
100349,200310,300434,400343,500434,600355,700358,7,1399.93
100350,200084,300435,400344,500435,600017,700359,8,2152.956
100300,200311,300436,400345,500436,600318,700360,5,1244.1
100351,200312,300437,400346,500437,600356,700110,9,2226.816
100352,200069,300438,400120,500438,600269,700051,4,1586.412
100353,200313,300439,400347,500439,600088,700361,8,3040.0
100354,200314,300440,400348,500440,600357,700362,6,3425.4
100355,200248,300441,400017,500441,600358,700310,2,1136.94
100343,200139,300442,400349,500442,600359,700363,2,677.6352
100356,200315,300443,400350,500443,600360,700312,2,731.34
100357,200316,300444,400351,500444,600361,700364,7,3499.93
100358,200317,300445,400227,500445,600362,700365,4,1272.72
100359,200318,300446,400352,500446,600246,700004,6,1856.34
100055,200319,300447,400163,500447,600181,700317,4,2295.0
100360,200320,300448,400166,500448,600288,700292,3,1622.1825
100361,200125,300449,400353,500449,600363,700366,7,1063.44
100362,200321,300450,400354,500450,600364,700367,14,3449.88
100363,200218,300451,400355,500451,600319,700368,3,585.456
100364,200322,300452,400356,500452,600365,700369,4,1429.44
100365,200162,300453,400357,500453,600366,700370,2,1057.8
100042,200275,300454,400349,500454,600310,700314,3,1092.96
100366,200323,300455,400358,500455,600367,700371,5,1483.0
100367,200324,300456,400316,500456,600360,700231,5,1792.4
100368,200325,300457,400359,500457,600368,700276,7,2455.677
100369,200326,300458,400360,500458,600369,700372,6,1900.44
100370,200114,300459,400361,500459,600370,700373,7,3712.59
100088,200327,300460,400081,500460,600371,700374,9,2372.22
100371,200328,300461,400362,500461,600372,700213,9,5725.35
100372,200329,300462,400363,500462,600262,700306,7,2553.18
100373,200330,300463,400364,500463,600355,700305,6,2003.52
100374,200331,300464,400365,500464,600132,700375,4,1188.36
100375,200033,300465,400002,500465,600373,700376,5,2875.095
100082,200332,300466,400366,500466,600374,700377,5,2380.5
100376,200333,300466,400367,500467,600375,700378,10,1619.1
100377,200138,300467,400149,500468,600376,700379,6,2821.7178
100378,200079,300468,400368,500469,600377,700380,9,2991.1032
100116,200114,300469,400369,500470,600284,700356,4,1798.6764
100379,200334,300470,400034,500471,600378,700381,4,2544.84
100371,200335,300471,400151,500472,600379,700014,2,951.72
100092,200055,300472,400121,500473,600380,700382,4,2575.92
100380,200041,300473,400137,500474,600381,700383,3,1699.83
100381,200069,300474,400370,500475,600382,700343,8,2634.552
100382,200336,300475,400371,500476,600050,700314,11,3707.352
100359,200337,300476,400372,500477,600204,700358,5,4298.85
100311,200338,300477,400223,500478,600211,700384,6,3417.48
100029,200248,300478,400373,500479,600383,700385,4,2080.32
100102,200290,300479,400374,500480,600384,700386,5,840.6
100383,200339,300480,400110,500481,600385,700203,6,1369.764
100384,200340,300481,400375,500482,600386,700387,10,1288.8
100385,200341,300482,400376,500483,600249,700388,5,660.69
100386,200342,300483,400377,500484,600387,700288,6,3234.24
100006,200343,300484,400237,500485,600388,700254,5,2171.3
100082,200002,300485,400378,500486,600389,700362,9,2074.734
100387,200344,300486,400157,500487,600039,700099,2,849.8
100174,200005,300487,400040,500488,600390,700337,3,1177.173
100068,200345,300488,400379,500489,600224,700040,6,2270.34
100388,200346,300489,400380,500490,600391,700346,9,2665.62
100389,200266,300490,400188,500491,600392,700389,9,2863.08
100390,200347,300491,400381,500492,600306,700390,5,1253.07
100391,200348,300492,400382,500493,600393,700391,6,3369.24
100392,200349,300493,400326,500494,600394,700392,6,1464.12
100117,200350,300494,400189,500495,600395,700393,7,1273.125
